##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	subAmp-m89-2-minG-noNEP_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6225018
Total Bases	933.7 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.404322043727426	37.0	37.0	37.0	37.0	37.0
2	36.23098326783955	37.0	37.0	37.0	37.0	37.0
3	36.49015296020028	37.0	37.0	37.0	37.0	37.0
4	36.419864810029466	37.0	37.0	37.0	37.0	37.0
5	36.45423547369662	37.0	37.0	37.0	37.0	37.0
6	36.47017695370519	37.0	37.0	37.0	37.0	37.0
7	36.50336015092647	37.0	37.0	37.0	37.0	37.0
8	36.486091445839996	37.0	37.0	37.0	37.0	37.0
9	36.551597119879816	37.0	37.0	37.0	37.0	37.0
10-14	36.48748299201706	37.0	37.0	37.0	37.0	37.0
15-19	36.4964498094624	37.0	37.0	37.0	37.0	37.0
20-24	36.36523422100948	37.0	37.0	37.0	37.0	37.0
25-29	36.435590836845776	37.0	37.0	37.0	37.0	37.0
30-34	36.347877805333255	37.0	37.0	37.0	37.0	37.0
35-39	36.42060360307392	37.0	37.0	37.0	37.0	37.0
40-44	36.53481371459488	37.0	37.0	37.0	37.0	37.0
45-49	36.37766509269531	37.0	37.0	37.0	37.0	37.0
50-54	36.41584602646932	37.0	37.0	37.0	37.0	37.0
55-59	36.51698481835715	37.0	37.0	37.0	37.0	37.0
60-64	36.083287148727926	37.0	37.0	37.0	37.0	37.0
65-69	36.26419200715564	37.0	37.0	37.0	37.0	37.0
70-74	36.299767872157155	37.0	37.0	37.0	37.0	37.0
75-79	36.313828939932385	37.0	37.0	37.0	37.0	37.0
80-84	36.21085548668293	37.0	37.0	37.0	37.0	37.0
85-89	36.377999870843745	37.0	37.0	37.0	37.0	37.0
90-94	36.1378773201941	37.0	37.0	37.0	37.0	37.0
95-99	36.24125054738797	37.0	37.0	37.0	37.0	37.0
100-104	36.42563199014043	37.0	37.0	37.0	37.0	37.0
105-109	36.11325682913688	37.0	37.0	37.0	37.0	37.0
110-114	36.06441697036057	37.0	37.0	37.0	37.0	37.0
115-119	35.99911164915507	37.0	37.0	37.0	37.0	37.0
120-124	36.02631484760365	37.0	37.0	37.0	37.0	37.0
125-129	36.23756467852784	37.0	37.0	37.0	37.0	37.0
130-134	35.823426277642895	37.0	37.0	37.0	32.2	37.0
135-139	35.90517829827962	37.0	37.0	37.0	34.6	37.0
140-144	35.67421006654118	37.0	37.0	37.0	34.6	37.0
145-149	35.6918963447174	37.0	37.0	37.0	34.6	37.0
150	35.662527562169295	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.09440062983309616
1101	2	0.040711602821261295
1101	3	0.0559693898979603
1101	4	0.001568668115886851
1101	5	0.01130553499905318
1101	6	0.14620846735013515
1101	7	0.05102560975495862
1101	8	0.10131796071495103
1101	9	0.049943827908144556
1101	10-14	0.048064055895444824
1101	15-19	0.059106279303215103
1101	20-24	0.046558085476455346
1101	25-29	0.05177494593446852
1101	30-34	0.081503381177356
1101	35-39	0.07766536039748217
1101	40-44	0.06073485030182013
1101	45-49	0.11838729873341691
1101	50-54	0.1320181708259156
1101	55-59	0.04759795411477796
1101	60-64	0.10304807216555645
1101	65-69	0.010490274018842172
1101	70-74	0.10472642017241185
1101	75-79	0.03560435599020195
1101	80-84	0.03754454906241733
1101	85-89	0.026294592255609928
1101	90-94	-0.047758159640032716
1101	95-99	0.12122649470671121
1101	100-104	0.019743447691247695
1101	105-109	0.017776358490280586
1101	110-114	0.0704019710402406
1101	115-119	0.11081344085869915
1101	120-124	-0.09058386891082648
1101	125-129	0.04095243220098865
1101	130-134	-0.1005815658767375
1101	135-139	0.060562722373589395
1101	140-144	0.14123400986051848
1101	145-149	0.00823474164072735
1101	150	0.22075147683715102
1102	1	0.01584875003731412
1102	2	-0.14981238159570864
1102	3	0.043327269092323206
1102	4	0.0325765981611994
1102	5	0.04597101683292948
1102	6	0.06903564507167204
1102	7	0.05869768362905603
1102	8	0.06184968258558854
1102	9	0.030654254549318694
1102	10-14	0.05103348112766781
1102	15-19	0.05601318996433946
1102	20-24	-0.027061725107976997
1102	25-29	0.036052879324792286
1102	30-34	0.06225749571194683
1102	35-39	0.06781105428489553
1102	40-44	0.0495736916434808
1102	45-49	0.07223656367532527
1102	50-54	0.07361184976551272
1102	55-59	0.04383106433463979
1102	60-64	-0.005947275225835824
1102	65-69	0.007271087836784318
1102	70-74	0.09415678815759776
1102	75-79	0.0026123603691274866
1102	80-84	0.03220803740386913
1102	85-89	0.004093675249094986
1102	90-94	0.03505259710996711
1102	95-99	0.035387690531869964
1102	100-104	0.06732686183423198
1102	105-109	0.07660185356905203
1102	110-114	0.05444849036867083
1102	115-119	0.05089723511676425
1102	120-124	-0.04225711860757997
1102	125-129	0.05301709906812846
1102	130-134	0.004802485508058396
1102	135-139	0.1018016103426973
1102	140-144	0.16092907309477766
1102	145-149	0.030828072563849673
1102	150	0.07216499812190591
1103	1	-0.2828704693615194
1103	2	0.1261706324680958
1103	3	0.11176316170839584
1103	4	-0.4034048779405808
1103	5	0.15222881344599415
1103	6	0.026931371246078584
1103	7	0.20181615797072538
1103	8	0.18957486585939876
1103	9	-0.21942178912880905
1103	10-14	-0.02790532507204091
1103	15-19	0.051592745322430744
1103	20-24	-0.04457774554578009
1103	25-29	-0.07008102590257437
1103	30-34	4.599598688841411E-4
1103	35-39	-0.10850245073056897
1103	40-44	-0.00745001006024637
1103	45-49	0.030481407230404045
