##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	subAmp-m89-1-minG-noNEP_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	8688588
Total Bases	1.3 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.25941625958096	37.0	37.0	37.0	37.0	37.0
2	36.46042118696386	37.0	37.0	37.0	37.0	37.0
3	36.67354580514118	37.0	37.0	37.0	37.0	37.0
4	36.68604173658597	37.0	37.0	37.0	37.0	37.0
5	36.564519114037864	37.0	37.0	37.0	37.0	37.0
6	36.58019346756918	37.0	37.0	37.0	37.0	37.0
7	36.7748499526045	37.0	37.0	37.0	37.0	37.0
8	36.53098201917273	37.0	37.0	37.0	37.0	37.0
9	36.64451807359263	37.0	37.0	37.0	37.0	37.0
10-14	36.56057027908332	37.0	37.0	37.0	37.0	37.0
15-19	36.642707606805615	37.0	37.0	37.0	37.0	37.0
20-24	36.43068859980471	37.0	37.0	37.0	37.0	37.0
25-29	36.49352714157927	37.0	37.0	37.0	37.0	37.0
30-34	36.54456758681617	37.0	37.0	37.0	37.0	37.0
35-39	36.545413570076065	37.0	37.0	37.0	37.0	37.0
40-44	36.088468022652236	37.0	37.0	37.0	37.0	37.0
45-49	36.45082980111383	37.0	37.0	37.0	37.0	37.0
50-54	36.42520006703046	37.0	37.0	37.0	37.0	37.0
55-59	36.44669499808255	37.0	37.0	37.0	37.0	37.0
60-64	36.47029860317925	37.0	37.0	37.0	37.0	37.0
65-69	36.33588599206223	37.0	37.0	37.0	37.0	37.0
70-74	36.50520837217739	37.0	37.0	37.0	37.0	37.0
75-79	36.35332360102701	37.0	37.0	37.0	37.0	37.0
80-84	36.39996215725731	37.0	37.0	37.0	37.0	37.0
85-89	36.39587824857158	37.0	37.0	37.0	37.0	37.0
90-94	36.34984478490637	37.0	37.0	37.0	37.0	37.0
95-99	36.24952533138871	37.0	37.0	37.0	37.0	37.0
100-104	36.15689407761077	37.0	37.0	37.0	37.0	37.0
105-109	35.643202370741946	37.0	37.0	37.0	34.6	37.0
110-114	36.3741089806537	37.0	37.0	37.0	37.0	37.0
115-119	36.21450198812512	37.0	37.0	37.0	37.0	37.0
120-124	36.18531218191034	37.0	37.0	37.0	37.0	37.0
125-129	36.29263143792755	37.0	37.0	37.0	37.0	37.0
130-134	35.946221204181846	37.0	37.0	37.0	37.0	37.0
135-139	35.92999640447907	37.0	37.0	37.0	37.0	37.0
140-144	35.84309109834648	37.0	37.0	37.0	34.6	37.0
145-149	35.78476424477717	37.0	37.0	37.0	34.6	37.0
150	36.24685081166238	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.005991643697242921
1101	2	0.07258781652819124
1101	3	0.02774088661684715
1101	4	0.01625329020291133
1101	5	-0.05069709569031744
1101	6	0.019929622017365034
1101	7	0.02195435301345583
1101	8	0.04232221688455695
1101	9	0.015009922046246515
1101	10-14	0.02726703131064312
1101	15-19	0.034389028875651206
1101	20-24	0.06818504581586637
1101	25-29	0.052359068692474864
1101	30-34	0.04898596693705315
1101	35-39	0.03289333572167408
1101	40-44	0.04279973915943458
1101	45-49	0.0628076721188009
1101	50-54	0.010014228072890319
1101	55-59	-0.029690145439460025
1101	60-64	-0.0012228614911364843
1101	65-69	0.03545450513393433
1101	70-74	-0.008050956614113147
1101	75-79	0.011975771238468269
1101	80-84	0.0252820645111953
1101	85-89	0.01636186167265663
1101	90-94	0.10554037380022407
1101	95-99	0.07547619241218229
1101	100-104	0.026598429006945423
1101	105-109	0.007380052768553469
1101	110-114	0.03508025397716352
1101	115-119	0.04100588308887154
1101	120-124	0.003028331871064438
1101	125-129	-0.03619456571373547
1101	130-134	0.06191551619479441
1101	135-139	-0.060803634357249337
1101	140-144	0.04993947551256639
1101	145-149	0.11769801246780531
1101	150	0.19271293618081842
1102	1	-0.04309679640170572
1102	2	0.06795673598114149
1102	3	0.07133613233327196
1102	4	0.02486560552384276
1102	5	0.08217703312413249
1102	6	-0.012431247601192297
1102	7	0.06804265694201206
1102	8	0.09475897123950716
1102	9	0.04528109882102882
1102	10-14	0.0747548457729792
1102	15-19	0.003327813626881948
1102	20-24	0.09166150507838466
1102	25-29	0.08075513556413227
1102	30-34	0.02203004454827351
1102	35-39	0.02311077753762447
1102	40-44	0.1309043271523791
1102	45-49	0.08810849531873544
1102	50-54	-0.011275693480911286
1102	55-59	-0.019388193931789033
1102	60-64	-0.002425633819456152
1102	65-69	-0.01029567823930222
1102	70-74	0.04120675816678698
1102	75-79	0.007783485294432069
1102	80-84	0.11138432450972857
1102	85-89	-0.02489141125624883
1102	90-94	0.13150628515129625
1102	95-99	0.10571075030329524
1102	100-104	0.1657110772437207
1102	105-109	0.052794903826359985
1102	110-114	0.046980201521073184
1102	115-119	0.05868711589240405
1102	120-124	-0.002209878614273464
1102	125-129	0.06444780757655622
1102	130-134	0.11020548868044244
1102	135-139	-0.029322621713134822
1102	140-144	0.12969774626849784
1102	145-149	0.258453807638503
1102	150	0.350216331327573
1103	1	0.3243822019921154
1103	2	0.07469342726042072
1103	3	0.13609734378218263
1103	4	0.1192023938669422
1103	5	0.057379538295087684
1103	6	0.13561996511879215
1103	7	0.05337330946509411
1103	8	0.12979438797839293
1103	9	0.10874812601045392
1103	10-14	0.0586260744391609
1103	15-19	0.06400887809343914
1103	20-24	0.11244009557306356
1103	25-29	0.12338348513254971
1103	30-34	0.03328829208412287
1103	35-39	0.07522249337173292
1103	40-44	0.11028288760349625
1103	45-49	0.09891608940708352
1103	50-54	0.14921586543336218
1103	55-59	0.061765247789473676
1103	60-64	0.03360468706890174
1103	65-69	0.10345849608269475
1103	70-74	0.04191393742286209
1103	75-79	0.13721231093776254
1103	80-84	0.002023443540018377
1103	85-89	0.06304725365401964
1103	90-94	0.21491068306674066
1103	95-99	0.18226406029508269
1103	100-104	0.19510523723725015
1103	105-109	0.038646696618215515
1103	110-114	0.14988980506159777
1103	115-119	0.13631737207155226
1103	120-124	0.0672704832951112
1103	125-129	0.05322307016886185
1103	130-134	0.0558439721738182
1103	135-139	0.13152368235083145
1103	140-144	0.295225068578155
1103	145-149	0.25994385281939714
1103	150	0.21028843587917123
1104	1	-0.14391002929041008
1104	2	-0.10415836066225381
1104	3	0.10735566835280963
1104	4	0.10093628536810684
1104	5	0.113070667791348
1104	6	0.14071225459891679
1104	7	0.14615217844776396
1104	8	0.02603733648013673
1104	9	0.15983635488571935
1104	10-14	0.0765932589321423
1104	15-19	0.10098948109988015
1104	20-24	0.08074621491781642
1104	25-29	0.06546497499095949
1104	30-34	0.10966337557782424
1104	35-39	0.09528346857823777
1104	40-44	0.08848259793818869
1104	45-49	0.1804138838505409
1104	50-54	0.07800714108494589
1104	55-59	0.07986999023204788
1104	60-64	0.08735942389012052
1104	65-69	0.09305170812694996
1104	70-74	0.029282414166971193
1104	75-79	0.10861745216613627
1104	80-84	0.06449327007151595
1104	85-89	0.0643223100329422
1104	90-94	0.1340980330260635
1104	95-99	0.06413220306436074
1104	100-104	0.015380485403689192
1104	105-109	-0.0066931971711738925
1104	110-114	0.07506092582821822
1104	115-119	0.1542938152726876
1104	120-124	0.03062583912710437
1104	125-129	9.695667398261776E-4
1104	130-134	0.15143616576017394
1104	135-139	-0.0550511908379292
1104	140-144	0.11115004658871896
1104	145-149	0.15519281286807285
1104	150	0.28118368682323336
1105	1	-0.07053476723590535
1105	2	-0.016108046196848136
1105	3	0.05494476688530625
1105	4	-0.031139186330008783
1105	5	-0.035776292376361596
1105	6	-0.07731709550590438
1105	7	0.08116266062805266
1105	8	0.12876270335644335
1105	9	-0.02255358222119952
1105	10-14	0.06066034488602412
1105	15-19	0.02803350625710266
1105	20-24	0.06145900317776665
1105	25-29	0.08978363327187111
1105	30-34	0.08282899402647104
1105	35-39	0.07809269289689524
1105	40-44	0.04110314301157558
1105	45-49	0.049596273787649636
1105	50-54	0.06668638636796231
1105	55-59	0.050519885410253096
1105	60-64	0.021531331646940544
1105	65-69	0.08466596389214942
1105	70-74	0.03682958397828884
1105	75-79	0.07172017753300963
1105	80-84	0.04310962227277315
1105	85-89	0.010234259718465921
1105	90-94	0.2368233999023701
1105	95-99	0.07796868105178589
1105	100-104	0.04053771810809792
1105	105-109	0.010078291298427189
1105	110-114	0.051161554759033834
1105	115-119	0.07756425552425839
1105	120-124	0.022659382104045278
1105	125-129	0.003485290010267761
1105	130-134	-0.008102618306914167
1105	135-139	-0.09572205037671466
1105	140-144	0.114085057070902
1105	145-149	0.23464773949281437
1105	150	0.230869221414423
1106	1	-0.13159894975741793
1106	2	-0.16140246827345806
1106	3	0.038782911495530925
1106	4	-0.042976594117519085
1106	5	0.034243794814322825
1106	6	0.09945895424716866
1106	7	0.016607341908368767
1106	8	-0.0901920609918605
1106	9	0.040997376964085674
1106	10-14	0.0451335605031602
1106	15-19	0.04252961600860061
1106	20-24	0.023186326142962344
1106	25-29	0.029146632491197977
1106	30-34	0.11038353206494378
1106	35-39	0.007750684353261761
1106	40-44	0.10861364712111765
1106	45-49	0.044363955339882466
1106	50-54	0.06397680854983179
1106	55-59	0.040691196691533094
1106	60-64	0.027610996217170225
1106	65-69	0.012231027969406227
1106	70-74	0.030249932565610038
1106	75-79	-0.06348415919497086
1106	80-84	-0.018903658079501895
1106	85-89	-0.01739834644101279
1106	90-94	0.07283385576756274
1106	95-99	-0.022718142979165634
1106	100-104	-0.14523195461981686
1106	105-109	-0.12058318252243794
1106	110-114	0.01929923534638789
1106	115-119	-0.028484708099504985
1106	120-124	0.08205606464749593
1106	125-129	-0.04442309836547764
1106	130-134	0.10102345732267537
1106	135-139	-0.11462769321067867
1106	140-144	0.13677393367941448
1106	145-149	0.13858316224484923
1106	150	0.16711212730286462
1107	1	0.016209716294632415
1107	2	-0.1320960361055299
1107	3	0.08169653464283044
1107	4	0.0754103997127018
1107	5	-0.18905597115971773
1107	6	0.023329601718977244
1107	7	0.10507624482306
1107	8	0.04889381944214932
1107	9	0.028533721904160814
1107	10-14	0.08504385055351094
1107	15-19	0.07963159459168168
1107	20-24	0.20271260087523757
1107	25-29	0.14512776858083498
1107	30-34	0.13271173573843953
1107	35-39	0.13935837175131383
1107	40-44	0.14120885313487008
1107	45-49	0.11634466592778381
1107	50-54	0.12616920625212202
1107	55-59	0.02634735582918779
1107	60-64	0.0951957419798859
1107	65-69	0.07008862672127236
1107	70-74	0.08688332736031157
1107	75-79	0.18599637410054015
1107	80-84	0.12554974948024977
1107	85-89	0.10057732904299144
1107	90-94	0.1638043543137755
1107	95-99	0.14966679425933194
1107	100-104	0.150473137217638
1107	105-109	0.25558872017950307
1107	110-114	0.1807186382256205
1107	115-119	0.13022743997510133
1107	120-124	0.17825668871670075
1107	125-129	0.09861462945524835
1107	130-134	0.3336106851788543
1107	135-139	0.10255016651558435
1107	140-144	0.27737655051510757
1107	145-149	0.29734761157467915
1107	150	0.24862230388608708
1108	1	-0.06979602310093469
1108	2	-0.008640740616336018
1108	3	0.07772603872317774
1108	4	0.05237883303706781
1108	5	0.1481110990581982
1108	6	0.12110558593564491
1108	7	0.1454134343127933
1108	8	0.07896735544788669
1108	9	0.07967263321256723
1108	10-14	0.12266693368506765
1108	15-19	0.05495174525081126
1108	20-24	0.12563789905477307
1108	25-29	-0.044120729311728724
1108	30-34	0.08014156265979011
1108	35-39	0.09059144501828342
1108	40-44	0.15260558885363196
1108	45-49	0.08251630972655022
1108	50-54	0.02378332157810803
1108	55-59	0.06182466728107272
1108	60-64	0.16655279515897092
1108	65-69	0.1308195028758803
1108	70-74	0.03292022988026133
1108	75-79	0.01801547552641125
1108	80-84	-0.0815664284410218
1108	85-89	-4.795268443658074E-4
1108	90-94	0.06654088018589022
1108	95-99	0.06606891066144982
1108	100-104	0.07353362506626837
1108	105-109	0.015481106512567067
1108	110-114	-0.004635590094714814
1108	115-119	0.0445723417776307
1108	120-124	0.03205141564701819
1108	125-129	-0.014184671055922138
1108	130-134	0.11405571253067137
1108	135-139	-0.014524086914597945
1108	140-144	0.06815114472189521
1108	145-149	0.08964224882694793
1108	150	0.25127453238577147
1109	1	-0.13045864771206084
1109	2	0.011698973714800331
1109	3	0.13000707512438936
1109	4	0.016588474929115193
1109	5	0.10335328176819303
1109	6	0.11691365642182205
1109	7	-0.025206726006942404
1109	8	0.01130379980150309
